video_url,comment_id,author,comment_time,likes,comment
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,UgyDvgJMhfCviLZrhW94AaABAg,@permansugiarta8329,27 detik yang lalu,0,Ada yg menarget  GoTO sekatang dikuasai danatara...makanya potongan bisa 8persen
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,Ugw1LT5mXTYkg4POuTd4AaABAg,@cobamining5705,27 detik yang lalu,0,Betul skrng KORUPSI itu sebagai alat Tawar.. Alat Sandera Penguasa... karena seperti Kanker sudah Menyebar ke seluruh sel sel Pemerintahan
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,Ugw2HF6TgW9wvLoq8uF4AaABAg,@AllanGregSwingPark,52 detik yang lalu,0,Makarrrrr
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,UgzPkh78j1GUN7wW2hh4AaABAg,@zaherdicrs4740,1 menit yang lalu,0,"Kenapa orang baik dan jujur di kriminalisasi..?
Apakah karena mereka tidak setor ke atasan...????"
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,Ugwit5qz6npND2L98eZ4AaABAg,@QuestionYukk,3 menit yang lalu (diedit),0,Anak sya klo pinterrr & sukses di.luar negeri g bakalan sya bolehin balik ke Konoha. Malah terancam bahaya
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,UgyRThIUD9Zp9UTWsYx4AaABAg,@senoatmojo404,4 menit yang lalu,0,Mungkin kasus goreng saham go to itu
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,Ugz711ysxx5u8GiMV4N4AaABAg,@nadetta17,6 menit yang lalu,0,"Mantap dan hebat pak Mahmud, semoga banyak orang seperti beliau, sehingga kebenaran dan keadilan tercipta di Negara RI tercinta ini."
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,UgwNyHoMX5Y1YmYT5AB4AaABAg,@AnthoniusSinaga,6 menit yang lalu,0,Jaksa bukan menegakkan keadilan klu begini keputusannya justru memelihara kejahatan..
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,Ugw7bSjggk8WwMYnBh14AaABAg,@AnthoniusSinaga,7 menit yang lalu,0,Tak adakah orang yg mau membela nadiem ini di nkri
https://www.youtube.com/watch?v=rZmA0H_9s2o&t=85s$0,UgxyGdGBhfkOL4o3UVx4AaABAg,@ChandraYulenry,7 menit yang lalu,0,"kalau di hukum ringan semua orang teriak hukum berat koruptor,miskinkan koruptor,...giliran di lakukan pada ngebela semua.....aneh nya negeri ku"
